City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,stanley,-51.6951,-57.8492,39.54,80,99,29.62,FK,Fri Aug  4 04:06:49 2023
184,ust'-kut,56.781,105.746,79.12,31,76,4.94,RU,Fri Aug  4 04:06:49 2023
185,susuman,62.7797,148.1536,63.0,30,89,20.58,RU,Fri Aug  4 04:06:50 2023
186,amungan,15.3641,119.9585,83.17,84,100,13.53,PH,Fri Aug  4 04:06:50 2023
187,rio grande,-53.7857,-67.7016,33.84,80,0,33.38,AR,Fri Aug  4 04:06:50 2023
188,panacan,7.1515,125.6587,89.71,62,20,9.22,PH,Fri Aug  4 04:06:51 2023
189,peace river,56.2337,-117.2911,57.63,84,12,0.78,CA,Fri Aug  4 04:06:51 2023
190,ketchikan,55.3422,-131.6461,61.84,81,14,1.1,US,Fri Aug  4 04:01:56 2023
191,inhambane,-23.866,35.3844,66.54,77,91,10.0,MZ,Fri Aug  4 03:59:18 2023
192,songea,-10.6787,35.6484,50.9,86,19,2.73,TZ,Fri Aug  4 04:06:52 2023
193,gotsucho,35.0133,132.2262,90.21,57,2,6.85,JP,Fri Aug  4 04:06:52 2023
194,vanino,49.0905,140.2609,64.78,60,88,8.34,RU,Fri Aug  4 04:06:52 2023
195,niafunke,15.931,-3.99,89.08,46,42,12.19,ML,Fri Aug  4 04:06:53 2023
196,pisco,-13.71,-76.203,62.85,88,8,4.61,PE,Fri Aug  4 04:06:53 2023
197,isangel,-19.5411,169.2811,70.83,83,100,14.97,VU,Fri Aug  4 04:06:54 2023
198,sokcho,38.207,128.5913,91.51,50,88,5.48,KR,Fri Aug  4 04:06:54 2023
199,sao felix do xingu,-6.6387,-51.9788,76.06,45,50,1.21,BR,Fri Aug  4 04:06:54 2023
200,noshiro,40.2118,140.0272,86.23,66,2,11.39,JP,Fri Aug  4 04:06:54 2023
201,saint-denis,48.9358,2.358,59.83,92,0,4.61,FR,Fri Aug  4 04:06:55 2023
202,dan khun thot,15.2088,101.7688,82.33,72,100,13.98,TH,Fri Aug  4 04:06:55 2023
203,burabay,53.083,70.3086,73.4,66,43,6.31,KZ,Fri Aug  4 04:06:56 2023
204,nar'yan-mar,67.638,53.0071,75.65,55,5,4.61,RU,Fri Aug  4 04:06:56 2023
205,salinopolis,-0.6259,-47.3443,77.9,86,35,8.79,BR,Fri Aug  4 04:06:56 2023
206,kayangel,8.0822,134.719,83.26,75,73,5.95,PW,Fri Aug  4 04:06:56 2023
207,sonargaon,23.6422,90.6023,84.25,67,100,10.36,BD,Fri Aug  4 04:06:57 2023
208,zhangye,38.9365,100.4556,89.55,16,1,8.08,CN,Fri Aug  4 04:06:57 2023
209,carolina beach,34.0352,-77.8936,81.01,75,100,8.3,US,Fri Aug  4 04:05:11 2023
210,saint-philippe,45.3584,-73.479,66.07,91,100,9.22,CA,Fri Aug  4 04:06:58 2023
211,fortuna,40.5974,-124.156,63.12,93,100,8.05,US,Fri Aug  4 04:06:58 2023
212,veymandoo,2.1874,73.0955,82.04,73,61,3.87,MV,Fri Aug  4 04:06:59 2023
213,turtas,58.9376,69.1315,68.76,84,63,5.39,RU,Fri Aug  4 04:06:59 2023
214,kingston,17.9712,-76.7928,84.02,84,40,6.91,JM,Fri Aug  4 04:04:20 2023
215,kolyvan',55.3069,82.7433,72.91,73,100,7.4,RU,Fri Aug  4 04:07:00 2023
216,cabo san lucas,22.8939,-109.9201,89.42,67,3,4.0,MX,Fri Aug  4 04:04:06 2023
217,letlhakane,-21.422,25.588,45.14,63,0,9.04,BW,Fri Aug  4 04:07:01 2023
218,dryden,42.4909,-76.2972,71.24,77,0,8.05,US,Fri Aug  4 04:07:02 2023
219,ola,35.0323,-93.2232,91.09,49,6,5.59,US,Fri Aug  4 04:07:02 2023
220,tharad,24.3897,71.6293,84.43,70,100,11.81,IN,Fri Aug  4 04:07:03 2023
221,sandnessjoen,66.0215,12.6317,57.42,77,75,13.8,NO,Fri Aug  4 04:07:03 2023
222,amga,60.8942,131.98,77.79,34,2,4.27,RU,Fri Aug  4 04:07:08 2023
223,kupang,-10.1632,123.6018,86.31,51,5,11.95,ID,Fri Aug  4 04:07:10 2023
224,paysandu,-32.3217,-58.0892,52.92,72,23,7.0,UY,Fri Aug  4 04:07:13 2023
225,visconde do rio branco,-21.01,-42.8408,62.51,56,0,2.08,BR,Fri Aug  4 04:07:15 2023
226,alofi,-19.0534,-169.9192,73.69,79,100,22.03,NU,Fri Aug  4 04:07:15 2023
227,grand falls-windsor,48.9442,-55.6526,56.14,87,5,2.19,CA,Fri Aug  4 04:07:16 2023
228,antalaha,-14.9012,50.281,70.39,90,77,9.53,MG,Fri Aug  4 04:07:16 2023
229,luena,43.1118,-3.907,59.36,96,86,4.45,ES,Fri Aug  4 04:07:16 2023
230,daru,-9.0699,143.21,80.28,67,39,16.55,PG,Fri Aug  4 04:07:17 2023
